rank,purchaser_name_raw,total_amount_inr,total_amount_cr,bond_count,pct_of_corporate_value,cumulative_pct_of_corporate,classification_rule_hit,source_file,source_sha256
108,TELLAPUR TECHNOCITY PRIVATE LIMI,200000000,20.0000,20,0.1746,75.6233,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
109,WONDER CEMENT LTD,200000000,20.0000,20,0.1746,75.7978,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
110,NSL SEZ(HYDERABAD) PRIVATE LIMITED,195000000,19.5000,24,0.1702,75.9681,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
111,DINESHCHANDRA R AGRAWAL INFRACON PVT LTD,185000000,18.5000,23,0.1615,76.1295,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
112,VARDHMAN TEXTILES LTD,182500000,18.2500,52,0.1593,76.2888,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
113,BAJAJ AUTO LTD,180000000,18.0000,27,0.1571,76.4460,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
114,LUPIN LIMITED,180000000,18.0000,18,0.1571,76.6031,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
115,RAY CONSTRUCTIONS LTD,175001000,17.5001,23,0.1528,76.7558,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
116,S D CORPORATION PVT LTD,170000000,17.0000,17,0.1484,76.9042,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
117,OSTRO JAISALMER PRIVATE LIMITED,170000000,17.0000,17,0.1484,77.0526,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
118,OSTRO MADHYA WIND PRIVATE LIMITED,170000000,17.0000,17,0.1484,77.2010,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
119,ISHAN TECHNICAL PLANT SERVICES PVT LTD,160000000,16.0000,16,0.1397,77.3406,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
120,BALU IRON AND STEEL COMPANY,160000000,16.0000,16,0.1397,77.4803,word:COMPANY,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
121,MOHAN STEEL CORPORATION,160000000,16.0000,16,0.1397,77.6200,word:CORPORATION,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
122,NIRMA LIMITED,160000000,16.0000,16,0.1397,77.7596,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
123,KITEX GARMENTS LIMITED,160000000,16.0000,16,0.1397,77.8993,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
124,TVS MOBILITY PRIVATE LIMITED,160000000,16.0000,16,0.1397,78.0389,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
125,BHARTI AIRTEL LIMITEDAIRTEL CURRE NT AC-GCO,150000000,15.0000,33,0.1309,78.1699,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
126,INFOTELBUSINESSSOLUTIONSLTDBR,150000000,15.0000,15,0.1309,78.3008,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
