purchaser_name_raw,party_name,total_amount_inr,total_amount_cr,bond_count
ALLANASONS PRIVATE L,BHARATIYA JANATA PARTY,10000000,1.0000,1
CHITRAKUT HOLDINGS LTD,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,1
KANHA VINCOM PRIVATE LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,1
MISRILALL MINES PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
TECH MAHINDRA LTD,AAM AADMI PARTY,10000000,1.0000,1
PURI CONSTRUCTION PVT LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
SHREE SALASAR PROPERTIES & FINANCE PVT LTD,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,1
SSALASAR  FINANCIAL ADVISORY SERVICE PVT LTD,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,1
DESCENT BUILDWELL LLP,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,1
LIFELINE MARKETING PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,1
LIFELINE MARKETING PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
TRIREME INFRASTRUCTURRE  PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
SHAURYAVIR CARRIERS PRIVATE LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,10
BAGDOGRA REALTORS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,10
QUALITY MAINTENANCE VENTURE LTD,BHARATIYA JANATA PARTY,10000000,1.0000,10
HITECH SYSTEMS & SERVICES LTD,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,10
AMBUJA REALTY EVENTS MANAGMENT LTD,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,10
AMBUJA HOUSING AND URBAN INFRASTRUCTURE  CO. LTD.,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,10000000,1.0000,10
REGENT ELECTRO MECH PRIVATE LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,10
IVL DHUNSERI PETROCHEM INDUSTRIES PRIVAT E LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,10
RICHA GLOBAL EXPORTS PRIVATE LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,10
JNS INSTRUMENTS LTD,BHARATIYA JANATA PARTY,10000000,1.0000,10
EDELWEISS HOUSING FINANCE LTD.,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,10
MAHALAXMI VIDYUT PVT.LTD.,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,10
CANDY SPIRITS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,10
UTKARSH SFATIK LIMITED,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,10
MINDARIKA PRIVATE LTD,BHARATIYA JANATA PARTY,10000000,1.0000,10
CRESCENT POWER LTD,BHARATIYA JANATA PARTY,10000000,1.0000,10
ABHINANDANSTOCKBROKINGPVTLTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,10
SURENDRA STEELS PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,10
CHAKRADHARI TRADELINK PRIVATE LIMIT,BHARATIYA JANATA PARTY,9000000,0.9000,9
V M SALGAOCAR   BROTHER PVT LTD,BHARATIYA JANATA PARTY,9000000,0.9000,9
SUMAN ESTATES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,8500000,0.8500,13
V M SALGAOCAR CORPORATION PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",8000000,0.8000,62
PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,RASHTRIYA JANTA DAL,8000000,0.8000,8
VARDHMAN TEXTILES LTD,SHIROMANI AKALI DAL,7500000,0.7500,12
R B DEALERS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",7500000,0.7500,12
CASTLE LIQUORS PRIVATE LIMITED,RASHTRIYA JANTA DAL,7000000,0.7000,7
KEYSTONE REALTORS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",6000000,0.6000,6
TRANSWAYS EXIM PRIVATE LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),6000000,0.6000,6
DINESHCHANDRA R AGRAWAL INFRACON PVT LTD,JHARKHAND MUKTI MORCHA,5000000,0.5000,5
TORRENT PHARMACEUTICALS LTD,SIKKIM DEMOCRATIC FRONT,5000000,0.5000,5
VARDHMAN TEXTILES LTD,AAM AADMI PARTY,5000000,0.5000,5
SHRI JAGANNATH STEELS & POWER LTD,BHARATIYA JANATA PARTY,5000000,0.5000,5
AMBUJA REALTY EVENTS MANAGMENT LTD,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,5000000,0.5000,5
STAR CEMENT MEGHALAYA LIMITED,BHARATIYA JANATA PARTY,5000000,0.5000,5
KEVENTER FOODPARK INFRA LIMITED,SHIROMANI AKALI DAL,5000000,0.5000,5
QUALITY MAINTENANCE VENTURE LTD,RASHTRIYA JANTA DAL,5000000,0.5000,5
UM CABLES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",5000000,0.5000,5
BHARTI AIRTEL LIMITEDAIRTEL CURRE NT AC-GCO,JAMMU AND KASHMIR NATIONAL CONFERENCE,5000000,0.5000,5
JINDAL POLY FILMS LIMITED,SHIVSENA,5000000,0.5000,5
BG SHIRKE CONSTRUCTION TECHNOLOGY PVT LTD,BHARATIYA JANATA PARTY,5000000,0.5000,5
HEENA STEEL LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",5000000,0.5000,5
QUALITY MAINTENANCE VENTURE LTD,ALL INDIA TRINAMOOL CONGRESS,5000000,0.5000,5
MONALISA BOTTLING INDUSTRIES PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),5000000,0.5000,5
PRB SECURITIES PVT LTD,ALL INDIA TRINAMOOL CONGRESS,5000000,0.5000,5
SUMAN ESTATES PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",5000000,0.5000,5
M S  VARAS INTERNATIONAL PVT LTD,RASHTRIYA JANTA DAL,5000000,0.5000,5
SENGUPTA AND SENGUPTA PVT LTD,ALL INDIA TRINAMOOL CONGRESS,5000000,0.5000,5
R B DEALERS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,5000000,0.5000,5
DESCENT BUILDWELL LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",5000000,0.5000,5
SAGAR CEMENTS LIMITED,BHARAT RASHTRA SAMITHI,5000000,0.5000,5
SAGAR CEMENTS LIMITED,TELUGU DESAM PARTY,5000000,0.5000,5
SAGAR CEMENTS LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),5000000,0.5000,5
SAGAR CEMENTS LIMITED,BHARATIYA JANATA PARTY,5000000,0.5000,5
SAGAR CEMENTS LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",5000000,0.5000,5
AUSTIN PLYWOOD PRIVATE LIMITED FORMERLY  B S PROGRESSIVE PVT,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",4000000,0.4000,4
V M SALGAOCAR CORPORATION PVT LTD,MAHARASHTRAWADI GOMNTAK PARTY,3500000,0.3500,26
SHIVALIK PRINTS LIMITED,BHARATIYA JANATA PARTY,3500000,0.3500,8
V M SALGAOCAR CORPORATION PVT LTD,AAM AADMI PARTY,3000000,0.3000,21
CHAKRADHARI TRADELINK PRIVATE LIMIT,ALL INDIA TRINAMOOL CONGRESS,3000000,0.3000,3
SILVERTONE SECURITIES PRIVATE LIMIT,BHARAT RASHTRA SAMITHI,3000000,0.3000,3
CHOWGLE AND COMPANY PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",3000000,0.3000,3
V M SALGAOCAR   BROTHER PVT LTD,ALL INDIA TRINAMOOL CONGRESS,3000000,0.3000,3
V M SALGAOCAR   BROTHER PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",3000000,0.3000,3
RITESH PROJECTS PVT LTD,JHARKHAND MUKTI MORCHA,2500000,0.2500,7
VEDANTA LTD,ALL INDIA TRINAMOOL CONGRESS,2000000,0.2000,2
HIMALAYAN ENDEAVOUR PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2000000,0.2000,2
V M SALGAOCAR CORPORATION PVT LTD,GOA FORWARD PARTY,1500000,0.1500,15
V M SALGAOCAR CORPORATION PVT LTD,ALL INDIA TRINAMOOL CONGRESS,1500000,0.1500,6
PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),1200000,0.1200,3
V M SALGAOCAR CORPORATION PVT LTD,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,1000000,0.1000,10
BHARTI AIRTEL LIMITEDAIRTEL CURRE NT AC-GCO,RASHTRIYA JANTA DAL,1000000,0.1000,1
UTKAL ALUMINA INTERNATIONAL LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,0.1000,1
SENGUPTA AND SENGUPTA PRIVATE LIMIT,BHARATIYA JANATA PARTY,1000000,0.1000,1
HIMALAYAN ENDEAVOUR PVT LTD,BHARATIYA JANATA PARTY,1000000,0.1000,1
TRANSWAYS EXIM PRIVATE LTD,BHARATIYA JANATA PARTY,1000000,0.1000,1
JWIL INFRA LTD. (FORM. JITF WATER,ALL INDIA TRINAMOOL CONGRESS,1000000,0.1000,1
SRI SIDDHARTH INFRATECH AND SERVICES I P,TELUGU DESAM PARTY,1000000,0.1000,1
